AssetId,AssetTag,SerialNumber,Manufacturer,Model,AssetCategoryId,DepartmentId,PurchaseDate,PurchasePrice,BookValue,VendorId,Status,Condition,RoomId,WarrantyExpiration,IsUnderWarranty,Description,LastAuditDate,RecordStatus
1,CNT-000001,CAM-AXI-2023-00001,Axis,P3245-V,21,44,2023-05-08,490.17,337.81,35,Active,Poor,190,2028-05-06,True,Asset Axis P3245-V - CNT-000001,2023-02-02,Active
2,CNT-000002,SRV-HP-2022-00002,HP,ProLiant DL380 Gen10,3,45,2022-10-01,27449.8,18468.66,27,Active,Excellent,140,2027-09-30,True,Asset HP ProLiant DL380 Gen10 - CNT-000002,2023-10-12,Active
3,CNT-000003,KBM-MIC-2020-00003,Microsoft,150 Wireless Combo,25,7,2020-05-05,93.06,66.15,25,Active,Fair,24,2022-05-05,False,Asset Microsoft 150 Wireless Combo - CNT-000003,2023-12-19,Active
4,CNT-000004,SWL-MIC-2022-00004,Microsoft,SAP S/4HANA,26,41,2022-02-13,486.12,162.63,24,Repair,Good,159,2025-02-12,True,Asset Microsoft SAP S/4HANA - CNT-000004,2023-03-13,Active
5,CNT-000005,ACS-LEN-2018-00005,Lenel,iSTAR Ultra,22,41,2018-04-28,572.7,184.63,11,Assigned,Fair,94,2023-04-27,False,Asset Lenel iSTAR Ultra - CNT-000005,2023-08-03,Active
6,CNT-000006,EHD-SEA-2022-00006,Seagate,My Passport 4TB,23,41,2022-12-08,115.95,46.79,36,Active,Fair,177,2024-12-07,True,Asset Seagate My Passport 4TB - CNT-000006,2023-02-27,Active
7,CNT-000007,TST-FLU-2021-00007,Fluke,DSO-X 3024T,27,46,2021-05-03,3559.25,3040.77,14,Reserved,Excellent,81,2026-05-02,False,Asset Fluke DSO-X 3024T - CNT-000007,2024-02-10,Active
8,CNT-000008,PRN-CAN-2019-00008,Canon,VersaLink C405,5,28,2019-12-18,4450.13,3104.46,26,Assigned,Good,150,2022-12-17,False,Asset Canon VersaLink C405 - CNT-000008,2023-05-22,Active
9,CNT-000009,SRV-DEL-2019-00009,Dell,PowerEdge R750,3,5,2019-11-06,36683.17,16057.25,25,Repair,Excellent,99,2024-11-04,True,Asset Dell PowerEdge R750 - CNT-000009,2023-09-15,Active
10,CNT-000010,ACS-HID-2024-00010,HID,iSTAR Ultra,22,30,2024-11-11,601.19,269.22,47,Retired,Fair,1,2029-11-10,True,Asset HID iSTAR Ultra - CNT-000010,2024-05-27,Active
11,CNT-000011,FIL-STE-2024-00011,Steelcase,36W 2-Drawer,17,49,2024-11-17,545.83,121.32,35,Disposed,Good,42,2031-11-16,False,Asset Steelcase 36W 2-Drawer - CNT-000011,2023-01-01,Active
12,CNT-000012,CHR-STE-2020-00012,Steelcase,Gesture Chair,16,6,2020-05-08,398.47,319.74,47,Assigned,Good,22,2025-05-07,True,Asset Steelcase Gesture Chair - CNT-000012,2023-05-09,Active
13,CNT-000013,ACS-HON-2020-00013,Honeywell,PD-REX,22,35,2020-09-28,1937.8,1688.77,47,Retired,Good,194,2025-09-27,False,Asset Honeywell PD-REX - CNT-000013,2023-11-16,Active
14,CNT-000014,ACS-SOF-2022-00014,Software House,OmniAssure,22,2,2022-08-04,969.35,146.59,36,Active,Good,151,2027-08-03,True,Asset Software House OmniAssure - CNT-000014,2023-01-08,Active
15,CNT-000015,EHD-SEA-2018-00015,Seagate,My Passport 4TB,23,18,2018-01-28,152.69,78.07,32,Active,Good,172,2020-01-28,False,Asset Seagate My Passport 4TB - CNT-000015,2023-05-16,Active
16,CNT-000016,TAB-LEN-2019-00016,Lenovo,ThinkPad X12,8,27,2019-02-04,1124.88,431.32,47,Active,Good,120,2021-02-03,False,Asset Lenovo ThinkPad X12 - CNT-000016,2023-03-04,Active
17,CNT-000017,DCK-LEN-2019-00017,Lenovo,WD22TB4,24,12,2019-04-07,391.33,83.02,30,Active,Good,72,2021-04-06,True,Asset Lenovo WD22TB4 - CNT-000017,2024-03-29,Active
18,CNT-000018,DKT-DEL-2024-00018,Dell,OptiPlex 7010,2,26,2024-04-06,1372.19,665.63,11,Assigned,Excellent,16,2027-04-06,False,Asset Dell OptiPlex 7010 - CNT-000018,2024-02-04,Active
19,CNT-000019,RCK-MID-2021-00019,Middle Atlantic,N-Type 42U,30,46,2021-12-24,7965.67,4338.22,10,Active,Fair,125,2028-12-22,True,Asset Middle Atlantic N-Type 42U - CNT-000019,2023-08-11,Active
20,CNT-000020,SCN-FUJ-2018-00020,Fujitsu,WorkForce ES-580W,19,34,2018-01-19,1535.01,1282.52,4,Maintenance,Good,41,2021-01-18,True,Asset Fujitsu WorkForce ES-580W - CNT-000020,2023-07-10,Active
21,CNT-000021,LBL-ZEB-2021-00021,Zebra,DYMO LabelWriter 550,20,40,2021-02-19,272.35,156.77,27,Reserved,Good,21,2024-02-19,False,Asset Zebra DYMO LabelWriter 550 - CNT-000021,2023-11-20,Active
22,CNT-000022,MOB-GOO-2020-00022,Google Pixel,Galaxy S24,7,21,2020-07-05,970.18,329.86,5,Active,Excellent,193,2022-07-05,True,Asset Google Pixel Galaxy S24 - CNT-000022,2023-04-13,Active
23,CNT-000023,WBD-LEG-2019-00023,Legamaster,Flip Pro 55,18,11,2019-06-03,4492.94,1777.5,35,Retired,Fair,113,2024-06-01,False,Asset Legamaster Flip Pro 55 - CNT-000023,2023-01-09,Active
24,CNT-000024,RCK-APC-2020-00024,APC,VR3307,30,19,2020-02-04,6068.13,1361.44,14,Retired,Fair,155,2027-02-02,False,Asset APC VR3307 - CNT-000024,2023-07-28,Active
25,CNT-000025,FIL-LOR-2024-00025,Lorell,36W 2-Drawer,17,3,2024-01-03,562.28,429.29,22,Disposed,Good,1,2031-01-01,True,Asset Lorell 36W 2-Drawer - CNT-000025,2023-09-26,Active
26,CNT-000026,DCK-TAR-2022-00026,Targus,USB-C Docking Station,24,10,2022-01-04,183.86,148.28,3,Lost,Fair,140,2024-01-04,False,Asset Targus USB-C Docking Station - CNT-000026,2023-06-01,Active
27,CNT-000027,PRN-HP-2020-00027,HP,imageRUNNER 1643i,5,7,2020-01-12,1917.59,574.56,50,Maintenance,Poor,91,2023-01-11,True,Asset HP imageRUNNER 1643i - CNT-000027,2023-06-08,Active
28,CNT-000028,HHS-HON-2021-00028,Honeywell,CT40 XP,28,27,2021-01-06,936.56,342.55,48,Disposed,Good,172,2023-01-06,True,Asset Honeywell CT40 XP - CNT-000028,2023-10-01,Active
29,CNT-000029,SWL-MIC-2024-00029,Microsoft,SAP S/4HANA,26,30,2024-01-28,2406.38,624.84,20,Lost,Good,90,2027-01-27,True,Asset Microsoft SAP S/4HANA - CNT-000029,2023-08-17,Active
30,CNT-000030,ACS-LEN-2020-00030,Lenel,OmniAssure,22,23,2020-05-28,487.44,350.3,33,Assigned,Good,165,2025-05-27,True,Asset Lenel OmniAssure - CNT-000030,2023-12-06,Active
31,CNT-000031,MON-LG-2022-00031,LG,E27 G5,4,47,2022-05-02,308.4,138.06,28,Repair,Good,81,2025-05-01,False,Asset LG E27 G5 - CNT-000031,2023-04-29,Active
32,CNT-000032,DSG-LG-2018-00032,LG,MultiSync C651Q,29,35,2018-12-14,507.61,426.63,47,Retired,Good,176,2023-12-13,False,Asset LG MultiSync C651Q - CNT-000032,2024-01-08,Active
33,CNT-000033,SRV-LEN-2020-00033,Lenovo,SuperServer 2029U,3,33,2020-11-28,9985.01,8188.08,43,Assigned,Fair,80,2025-11-27,False,Asset Lenovo SuperServer 2029U - CNT-000033,2024-02-17,Active
34,CNT-000034,WBD-LEG-2021-00034,Legamaster,SMART Board MX265,18,40,2021-11-13,3644.74,2996.87,20,Assigned,Good,146,2026-11-12,False,Asset Legamaster SMART Board MX265 - CNT-000034,2023-01-01,Active
35,CNT-000035,UPS-EAT-2024-00035,Eaton,GXT5 3000VA,10,29,2024-10-20,3377.12,1593.97,14,Maintenance,Excellent,173,2029-10-19,True,Asset Eaton GXT5 3000VA - CNT-000035,2023-06-23,Active
36,CNT-000036,UPS-TRI-2024-00036,Tripp Lite,Smart-UPS 1500VA,10,10,2024-04-22,1758.97,1310.87,3,Active,Excellent,7,2029-04-21,False,Asset Tripp Lite Smart-UPS 1500VA - CNT-000036,2023-03-16,Active
37,CNT-000037,AUD-PLA-2021-00037,Plantronics,MXA920,14,49,2021-07-08,203.3,132.16,7,Disposed,Poor,198,2024-07-07,True,Asset Plantronics MXA920 - CNT-000037,2023-08-13,Active
38,CNT-000038,SWL-SAP-2022-00038,SAP,Microsoft 365 E3,26,30,2022-04-28,694.66,143.57,34,Maintenance,Fair,171,2025-04-27,False,Asset SAP Microsoft 365 E3 - CNT-000038,2024-03-29,Active
39,CNT-000039,TST-ROH-2023-00039,Rohde & Schwarz,TDS3034C,27,41,2023-08-15,4258.28,1268.08,50,Disposed,Good,71,2028-08-13,True,Asset Rohde & Schwarz TDS3034C - CNT-000039,2024-05-11,Active
40,CNT-000040,STR-SEA-2023-00040,Seagate,AFF A400,9,35,2023-05-08,23193.78,8251.6,9,Active,Good,21,2028-05-06,True,Asset Seagate AFF A400 - CNT-000040,2024-01-28,Active
41,CNT-000041,EHD-WD-2021-00041,WD,One Touch 5TB,23,14,2021-07-11,199.37,86.25,25,Disposed,Excellent,108,2023-07-11,False,Asset WD One Touch 5TB - CNT-000041,2024-01-25,Active
42,CNT-000042,LAP-LEN-2024-00042,Lenovo,ThinkPad X1 Carbon,1,35,2024-07-28,3207.43,2465.18,48,Maintenance,Good,192,2026-07-28,True,Asset Lenovo ThinkPad X1 Carbon - CNT-000042,2024-05-14,Active
43,CNT-000043,STR-SEA-2018-00043,Seagate,IronWolf Pro 20TB,9,47,2018-07-11,54172.14,40006.88,30,Active,Good,43,2023-07-10,False,Asset Seagate IronWolf Pro 20TB - CNT-000043,2023-01-28,Active
44,CNT-000044,SCN-FUJ-2023-00044,Fujitsu,fi-7300NX,19,17,2023-07-05,2627.18,644.67,21,Active,Excellent,98,2026-07-04,False,Asset Fujitsu fi-7300NX - CNT-000044,2023-12-01,Active
45,CNT-000045,KBM-HP-2024-00045,HP,Magic Keyboard,25,48,2024-07-09,216.98,103.34,4,Assigned,Good,139,2026-07-09,True,Asset HP Magic Keyboard - CNT-000045,2023-03-12,Active
46,CNT-000046,KBM-LOG-2019-00046,Logitech,Ergonomic Desktop,25,43,2019-01-20,80.48,16.17,37,Active,Excellent,30,2021-01-19,False,Asset Logitech Ergonomic Desktop - CNT-000046,2023-09-20,Active
47,CNT-000047,NET-UBI-2023-00047,Ubiquiti,UniFi Switch Pro 48,6,20,2023-12-04,11777.98,2720.86,38,Active,Fair,28,2028-12-02,False,Asset Ubiquiti UniFi Switch Pro 48 - CNT-000047,2024-01-20,Active
48,CNT-000048,EHD-WD-2022-00048,WD,One Touch 5TB,23,50,2022-12-27,217.99,39.57,44,Repair,Good,78,2024-12-26,False,Asset WD One Touch 5TB - CNT-000048,2023-02-12,Active
49,CNT-000049,WBD-MIC-2018-00049,Microsoft Surface Hub,Flip Pro 55,18,32,2018-09-21,2233.17,1741.11,28,Assigned,Excellent,28,2023-09-20,False,Asset Microsoft Surface Hub Flip Pro 55 - CNT-000049,2023-06-06,Active
50,CNT-000050,NET-UBI-2022-00050,Ubiquiti,FortiSwitch 148E-POE,6,47,2022-09-25,7510.71,3368.25,18,Assigned,Good,152,2027-09-24,False,Asset Ubiquiti FortiSwitch 148E-POE - CNT-000050,2023-03-30,Active
51,CNT-000051,DSG-PLA-2024-00051,Planar,C651Q,29,2,2024-08-19,3246.49,1308.96,21,Active,Excellent,127,2029-08-18,False,Asset Planar C651Q - CNT-000051,2023-08-06,Active
52,CNT-000052,SWL-AUT-2020-00052,Autodesk,AutoCAD 2024,26,34,2020-10-23,4412.53,2403.21,6,Active,Poor,49,2023-10-23,True,Asset Autodesk AutoCAD 2024 - CNT-000052,2024-05-15,Active
53,CNT-000053,EHD-SAM-2021-00053,Samsung,T7 Shield 2TB,23,16,2021-01-03,144.73,61.3,43,Repair,Fair,79,2023-01-03,False,Asset Samsung T7 Shield 2TB - CNT-000053,2024-04-29,Active
54,CNT-000054,AUD-LOG-2023-00054,Logitech,Zone 900,14,47,2023-08-09,314.64,89.49,21,Active,Good,50,2026-08-08,True,Asset Logitech Zone 900 - CNT-000054,2023-07-09,Active
55,CNT-000055,MOB-MOT-2023-00055,Motorola,Pixel 8 Pro,7,7,2023-10-25,867.25,283.07,19,Active,Fair,50,2025-10-24,False,Asset Motorola Pixel 8 Pro - CNT-000055,2023-07-03,Active
56,CNT-000056,LAP-MIC-2020-00056,Microsoft Surface,XPS 15,1,9,2020-01-02,2294.07,1509.35,49,Assigned,Good,164,2022-01-01,False,Asset Microsoft Surface XPS 15 - CNT-000056,2023-01-13,Active
57,CNT-000057,CHR-HUM-2020-00057,Humanscale,Liberty Chair,16,8,2020-03-02,729.21,575.62,26,Assigned,Good,17,2025-03-01,True,Asset Humanscale Liberty Chair - CNT-000057,2023-02-24,Active
58,CNT-000058,PRN-KON-2018-00058,Konica Minolta,imageRUNNER 1643i,5,39,2018-04-04,4597.16,1990.29,15,Disposed,Good,159,2021-04-03,False,Asset Konica Minolta imageRUNNER 1643i - CNT-000058,2024-01-25,Active
59,CNT-000059,RCK-MID-2024-00059,Middle Atlantic,N-Type 42U,30,40,2024-10-14,2790.35,1665.34,7,Disposed,Good,190,2031-10-13,False,Asset Middle Atlantic N-Type 42U - CNT-000059,2023-08-05,Active
60,CNT-000060,ACS-HID-2019-00060,HID,PD-REX,22,29,2019-03-18,502.68,51.34,39,Assigned,Fair,177,2024-03-16,True,Asset HID PD-REX - CNT-000060,2023-02-03,Active
61,CNT-000061,UPS-TRI-2018-00061,Tripp Lite,GXT5 3000VA,10,41,2018-11-08,4642.38,3390.16,43,Disposed,Good,151,2023-11-07,True,Asset Tripp Lite GXT5 3000VA - CNT-000061,2024-03-11,Active
62,CNT-000062,WBD-LEG-2020-00062,Legamaster,SMART Board MX265,18,39,2020-03-03,1050.48,771.16,37,Active,Excellent,192,2025-03-02,False,Asset Legamaster SMART Board MX265 - CNT-000062,2023-05-08,Active
63,CNT-000063,EHD-LAC-2020-00063,LaCie,T7 Shield 2TB,23,3,2020-09-18,188.63,31.0,48,Assigned,Fair,111,2022-09-18,True,Asset LaCie T7 Shield 2TB - CNT-000063,2023-01-27,Active
64,CNT-000064,TAB-APP-2022-00064,Apple,Surface Pro 9,8,42,2022-01-25,1231.9,586.88,18,Active,Poor,114,2024-01-25,True,Asset Apple Surface Pro 9 - CNT-000064,2024-05-18,Active
65,CNT-000065,CHR-KNO-2020-00065,Knoll,Liberty Chair,16,27,2020-06-22,477.82,109.26,32,Active,Poor,178,2025-06-21,False,Asset Knoll Liberty Chair - CNT-000065,2023-02-07,Active
66,CNT-000066,SRV-LEN-2020-00066,Lenovo,ThinkSystem SR650,3,1,2020-02-25,21167.0,10830.67,35,Assigned,Poor,169,2025-02-23,True,Asset Lenovo ThinkSystem SR650 - CNT-000066,2023-02-25,Active
67,CNT-000067,FIL-HIR-2023-00067,Hirsh,Radius Box/Box/File,17,9,2023-08-25,183.55,57.57,29,Retired,Excellent,74,2030-08-23,True,Asset Hirsh Radius Box/Box/File - CNT-000067,2023-05-05,Active
68,CNT-000068,CAM-GEN-2020-00068,Genetec,Wisenet XNV-8300R,21,8,2020-09-01,917.93,160.24,8,Reserved,Good,119,2025-08-31,False,Asset Genetec Wisenet XNV-8300R - CNT-000068,2024-05-25,Active
69,CNT-000069,FIL-HIR-2024-00069,Hirsh,Radius Box/Box/File,17,25,2024-08-16,308.43,166.86,39,Maintenance,Good,49,2031-08-15,False,Asset Hirsh Radius Box/Box/File - CNT-000069,2023-03-13,Active
70,CNT-000070,KBM-HP-2024-00070,HP,Magic Keyboard,25,20,2024-09-09,214.11,69.86,38,Reserved,Excellent,151,2026-09-09,False,Asset HP Magic Keyboard - CNT-000070,2023-06-02,Active
71,CNT-000071,WBD-MIC-2020-00071,Microsoft Surface Hub,Flip Pro 55,18,21,2020-09-25,3082.41,1431.09,45,Active,Poor,49,2025-09-24,False,Asset Microsoft Surface Hub Flip Pro 55 - CNT-000071,2023-08-28,Active
72,CNT-000072,DKT-LEN-2023-00072,Lenovo,Mac Mini M2,2,42,2023-07-13,2477.99,1818.63,32,Active,Good,39,2026-07-12,False,Asset Lenovo Mac Mini M2 - CNT-000072,2024-05-29,Active
73,CNT-000073,HHS-ZEB-2018-00073,Zebra,DS9908,28,42,2018-09-15,215.35,46.37,5,Assigned,Fair,40,2020-09-14,False,Asset Zebra DS9908 - CNT-000073,2023-12-13,Active
74,CNT-000074,CAM-AXI-2024-00074,Axis,QNV-8080R,21,41,2024-11-28,893.71,771.55,49,Assigned,Good,184,2029-11-27,True,Asset Axis QNV-8080R - CNT-000074,2023-02-06,Active
75,CNT-000075,TAB-MIC-2023-00075,Microsoft Surface,Galaxy Tab S9,8,46,2023-02-14,1476.17,1045.56,29,Active,Fair,26,2025-02-13,True,Asset Microsoft Surface Galaxy Tab S9 - CNT-000075,2023-01-30,Active
76,CNT-000076,VCF-CIS-2020-00076,Cisco Webex,Flex UC-P10,11,37,2020-06-14,3028.48,1589.75,12,Active,Good,175,2023-06-14,False,Asset Cisco Webex Flex UC-P10 - CNT-000076,2023-03-22,Active
77,CNT-000077,LBL-DYM-2022-00077,Dymo,H-Class 4,20,17,2022-03-08,422.8,128.19,1,Disposed,Excellent,171,2025-03-07,True,Asset Dymo H-Class 4 - CNT-000077,2023-10-22,Active
78,CNT-000078,SRV-CIS-2022-00078,Cisco UCS,ThinkSystem SR650,3,30,2022-05-21,43481.16,28360.62,13,Assigned,Excellent,78,2027-05-20,True,Asset Cisco UCS ThinkSystem SR650 - CNT-000078,2023-04-20,Active
79,CNT-000079,PRJ-SON-2023-00079,Sony,VPL-FHZ85,13,18,2023-05-01,3922.81,2457.97,37,Lost,Excellent,3,2026-04-30,False,Asset Sony VPL-FHZ85 - CNT-000079,2024-05-23,Active
80,CNT-000080,KBM-MIC-2019-00080,Microsoft,Magic Keyboard,25,47,2019-11-07,174.18,111.86,43,Reserved,Good,197,2021-11-06,True,Asset Microsoft Magic Keyboard - CNT-000080,2023-04-10,Active
81,CNT-000081,UPS-LIE-2022-00081,Liebert,Smart-UPS 1500VA,10,21,2022-06-24,917.64,759.53,27,Active,Good,192,2027-06-23,False,Asset Liebert Smart-UPS 1500VA - CNT-000081,2023-05-16,Active
82,CNT-000082,FIL-HIR-2020-00082,Hirsh,800 Series Pedestal,17,8,2020-08-26,341.84,272.21,5,Active,Good,120,2027-08-25,False,Asset Hirsh 800 Series Pedestal - CNT-000082,2024-02-11,Active
83,CNT-000083,SRV-CIS-2020-00083,Cisco UCS,PowerEdge R750,3,44,2020-09-04,23191.44,14802.23,38,Assigned,Fair,68,2025-09-03,True,Asset Cisco UCS PowerEdge R750 - CNT-000083,2023-04-21,Active
84,CNT-000084,CHR-STE-2022-00084,Steelcase,Generation Chair,16,45,2022-04-21,407.47,309.3,42,Assigned,Good,78,2027-04-20,True,Asset Steelcase Generation Chair - CNT-000084,2023-05-24,Active
85,CNT-000085,DKT-LEN-2018-00085,Lenovo,Mac Mini M2,2,30,2018-02-08,2285.79,476.66,43,Retired,Good,95,2021-02-07,True,Asset Lenovo Mac Mini M2 - CNT-000085,2024-03-05,Active
86,CNT-000086,DSG-PLA-2024-00086,Planar,QM65B,29,3,2024-08-20,2336.52,2012.25,24,Active,Excellent,177,2029-08-19,True,Asset Planar QM65B - CNT-000086,2024-03-31,Active
87,CNT-000087,HHS-DAT-2023-00087,Datalogic,MC3300xR,28,4,2023-06-18,1101.7,678.49,18,Active,Good,102,2025-06-17,True,Asset Datalogic MC3300xR - CNT-000087,2024-04-10,Active
88,CNT-000088,ACS-LEN-2018-00088,Lenel,multiCLASS RP40,22,14,2018-06-08,2969.82,2166.73,49,Maintenance,Good,18,2023-06-07,True,Asset Lenel multiCLASS RP40 - CNT-000088,2023-08-10,Active
89,CNT-000089,VCF-POL-2020-00089,Poly,Room Kit Plus,11,8,2020-03-05,7172.26,5298.95,2,Active,Excellent,170,2023-03-05,True,Asset Poly Room Kit Plus - CNT-000089,2024-01-02,Active
90,CNT-000090,SCN-EPS-2019-00090,Epson,fi-7300NX,19,8,2019-05-02,554.92,242.37,5,Assigned,Excellent,191,2022-05-01,True,Asset Epson fi-7300NX - CNT-000090,2024-01-06,Active
91,CNT-000091,DSK-HER-2023-00091,Herman Miller,Flex Active Frame,15,2,2023-11-17,1033.42,635.21,31,Lost,Poor,16,2030-11-15,True,Asset Herman Miller Flex Active Frame - CNT-000091,2024-03-12,Active
92,CNT-000092,CHR-HUM-2018-00092,Humanscale,Gesture Chair,16,40,2018-06-20,552.17,110.96,38,Maintenance,Fair,163,2023-06-19,False,Asset Humanscale Gesture Chair - CNT-000092,2024-01-26,Active
93,CNT-000093,DSK-HAW-2024-00093,Haworth,Flex Active Frame,15,50,2024-12-04,2190.86,1359.94,47,Lost,Good,142,2031-12-03,False,Asset Haworth Flex Active Frame - CNT-000093,2024-03-16,Active
94,CNT-000094,DSG-LG-2020-00094,LG,UltraView 65,29,28,2020-08-13,2371.95,417.63,43,Active,Fair,81,2025-08-12,False,Asset LG UltraView 65 - CNT-000094,2023-06-06,Active
95,CNT-000095,SRV-DEL-2018-00095,Dell,PowerEdge R750,3,9,2018-07-04,34783.56,13847.94,4,Repair,Good,143,2023-07-03,True,Asset Dell PowerEdge R750 - CNT-000095,2023-12-04,Active
96,CNT-000096,AUD-LOG-2024-00096,Logitech,MXA920,14,23,2024-12-02,777.88,451.43,37,Maintenance,Good,27,2027-12-02,False,Asset Logitech MXA920 - CNT-000096,2023-06-08,Active
97,CNT-000097,TAB-APP-2024-00097,Apple,Surface Pro 9,8,15,2024-09-12,526.37,169.94,36,Disposed,Good,110,2026-09-12,False,Asset Apple Surface Pro 9 - CNT-000097,2023-01-27,Active
98,CNT-000098,LAP-HP-2023-00098,HP,ThinkPad X1 Carbon,1,10,2023-05-11,1747.76,428.42,43,Assigned,Good,145,2025-05-10,True,Asset HP ThinkPad X1 Carbon - CNT-000098,2023-05-26,Active
